,Supporter ID,Amount,Campaign Date,Campaign ID,days_since_last_donation,gender,region
1093,207420089,5.0,2022-01-01,210405 - GEN - Donate National,180.0,M,Eastern
20842,208112954,10.0,2022-01-01,210405 - GEN - Donate National,242.0,nan,London
15911,207933069,3.0,2022-01-01,210405 - GEN - Donate National,,M,Scotland
16825,207970615,5.0,2022-01-01,210405 - GEN - Donate National,147.0,M,South East
25157,208265083,30.0,2022-01-01,210405 - GEN - Donate National,147.0,F,nan
5549,207580126,5.0,2022-01-01,210405 - GEN - Donate National,45.0,nan,London
13063,207826102,20.0,2022-01-01,210405 - GEN - Donate National,,nan,Yorkshire and Humber
29138,208404244,10.0,2022-01-01,210405 - GEN - Donate National,,nan,North West
10022,207731862,13.0,2022-01-01,210405 - GEN - Donate National,159.0,nan,North West
6621,207618723,60.0,2022-01-01,210405 - GEN - Donate National,247.0,M,Yorkshire and Humber
8094,207664634,76.0,2022-01-01,210405 - GEN - Donate National,465.0,M,South West
14867,207894310,10.0,2022-01-01,210405 - GEN - Donate National,96.0,F,London
17750,208000055,10.0,2022-01-01,210405 - GEN - Donate National,,M,London
3319,207504020,20.0,2022-01-01,210405 - GEN - Donate National,8.0,M,West Midlands
15923,207933505,100.0,2022-01-01,210405 - GEN - Donate National,452.0,nan,North West
16740,207967989,10.0,2022-01-01,210405 - GEN - Donate National,29.0,M,nan
13382,207840331,10.0,2022-01-01,210405 - GEN - Donate National,148.0,M,Yorkshire and Humber
18351,208017617,100.0,2022-01-01,210405 - GEN - Donate National,247.0,nan,North West
12500,207811489,3.0,2022-01-01,210405 - GEN - Donate National,,F,Scotland
13454,207843578,3.0,2022-01-01,210405 - GEN - Donate National,95.0,M,South East
433,207397867,3.0,2022-01-01,210405 - GEN - Donate National,69.0,nan,West Midlands
16728,207967754,5.0,2022-01-01,210405 - GEN - Donate National,14.0,nan,North West
29361,208446390,60.0,2022-01-01,210405 - GEN - Donate National,,nan,South West
22729,208182988,60.0,2022-01-01,210405 - GEN - Donate National,148.0,M,East Midlands
21147,208125084,10.0,2022-01-01,210405 - GEN - Donate National,43.0,nan,South West
5536,207579447,3.0,2022-01-01,210405 - GEN - Donate National,225.0,M,Eastern
24057,208223105,15.0,2022-01-01,210405 - GEN - Donate National,24.0,nan,South East
30520,220175425,3.0,2022-01-01,210405 - GEN - Donate National,22.0,F,London
3141,207499653,42.0,2022-01-01,210405 - GEN - Donate National,240.0,nan,London
24444,208239814,3.0,2022-01-01,210405 - GEN - Donate National,410.0,M,Scotland
705,207407796,3.0,2022-01-01,210405 - GEN - Donate National,571.0,F,East Midlands
2720,207485110,3.0,2022-01-01,210405 - GEN - Donate National,43.0,nan,East Midlands
9521,207721273,23.0,2022-01-01,210405 - GEN - Donate National,,F,nan
17690,207998317,5.0,2022-01-01,210405 - GEN - Donate National,242.0,M,Yorkshire and Humber
29697,208728966,5.0,2022-01-01,210405 - GEN - Donate National,,nan,London
25245,208269783,5.0,2022-01-01,210405 - GEN - Donate National,,nan,South West
24335,208233439,13.0,2022-01-01,210405 - GEN - Donate National,,F,East Midlands
11037,207765943,5.0,2022-01-01,210405 - GEN - Donate National,452.0,M,South East
1100,207420172,3.0,2022-01-01,210405 - GEN - Donate National,204.0,M,Yorkshire and Humber
24080,208223622,20000.0,2022-01-01,210405 - GEN - Donate National,,nan,nan
20987,208120156,13.0,2022-01-01,210405 - GEN - Donate National,28.0,nan,South West
12444,207810429,30.0,2022-01-01,210405 - GEN - Donate National,148.0,M,North West
18426,208020892,23.0,2022-01-01,210405 - GEN - Donate National,90.0,M,London
14860,207893975,42.0,2022-01-01,210405 - GEN - Donate National,449.0,M,Wales
13268,207834910,5.0,2022-01-01,210405 - GEN - Donate National,160.0,nan,Yorkshire and Humber
13283,207836067,42.0,2022-01-01,210405 - GEN - Donate National,34.0,M,North West
8586,207686774,3.0,2022-01-01,210405 - GEN - Donate National,53.0,nan,South East
8778,207693375,25.0,2022-01-01,210405 - GEN - Donate National,22.0,nan,London
25937,208295819,30.0,2022-01-01,210405 - GEN - Donate National,379.0,nan,North West
7618,207650608,10.0,2022-01-01,210405 - GEN - Donate National,,M,Wales
25226,208268525,20.0,2022-01-01,211111 - MM - Raffle - Winter 2021,,nan,East Midlands
3844,207522866,13.0,2022-01-01,210405 - GEN - Donate National,216.0,nan,South West
23407,208204368,10.0,2022-01-01,210405 - GEN - Donate National,22.0,F,Yorkshire and Humber
24327,208233079,30.0,2022-01-01,210405 - GEN - Donate National,148.0,M,Yorkshire and Humber
4771,207552193,30.0,2022-01-01,210405 - GEN - Donate National,19.0,M,South West
13070,207826241,10.0,2022-01-01,210405 - GEN - Donate National,126.0,M,North West
17144,207981373,10.0,2022-01-01,210405 - GEN - Donate National,192.0,F,North West
25390,208274627,76.0,2022-01-01,210405 - GEN - Donate National,304.0,F,London
27848,208352408,3.0,2022-01-01,210405 - GEN - Donate National,,M,South East
29090,208402250,42.0,2022-01-01,210405 - GEN - Donate National,294.0,M,South East
23390,208203542,10.0,2022-01-01,210405 - GEN - Donate National,148.0,nan,Yorkshire and Humber
21268,208129295,5.0,2022-01-01,210405 - GEN - Donate National,33.0,F,Eastern
8660,207689029,5.0,2022-01-01,210405 - GEN - Donate National,297.0,M,London
19405,208060010,13.0,2022-01-01,210405 - GEN - Donate National,177.0,M,London
28177,208360589,5.0,2022-01-01,210405 - GEN - Donate National,,F,East Midlands
13773,207859490,10.0,2022-01-01,210405 - GEN - Donate National,,M,Eastern
31024,227432021,3.0,2022-01-01,210405 - GEN - Donate National,,nan,nan
4358,207542967,10.0,2022-01-01,210405 - GEN - Donate National,24.0,M,North West
6423,207611773,15.0,2022-01-01,210405 - GEN - Donate National,96.0,M,Eastern
14918,207897051,10.0,2022-01-01,210405 - GEN - Donate National,,F,Eastern
1224,207424386,20.0,2022-01-01,210405 - GEN - Donate National,181.0,M,nan
28181,208360796,23.0,2022-01-01,210405 - GEN - Donate National,194.0,nan,Yorkshire and Humber
28309,208364519,15.0,2022-01-01,210405 - GEN - Donate National,247.0,M,South West
21660,208144422,60.0,2022-01-01,210405 - GEN - Donate National,295.0,nan,London
8972,207699714,23.0,2022-01-01,210405 - GEN - Donate National,13.0,M,North
4856,207553853,5.0,2022-01-01,210405 - GEN - Donate National,291.0,F,Eastern
7784,207655359,10.0,2022-01-01,210405 - GEN - Donate National,247.0,nan,South East
20544,208101313,10.0,2022-01-01,210405 - GEN - Donate National,,M,Eastern
26967,208328022,10.0,2022-01-01,210405 - GEN - Donate National,126.0,M,London
13152,207828894,42.0,2022-01-01,210405 - GEN - Donate National,52.0,M,Wales
13396,207840944,5.0,2022-01-01,210405 - GEN - Donate National,303.0,F,North West
16197,207944723,13.0,2022-01-01,210405 - GEN - Donate National,,nan,South East
13576,207849013,100.0,2022-01-01,210405 - GEN - Donate National,43.0,M,London
8214,207669776,50.0,2022-01-01,210405 - GEN - Donate National,148.0,nan,London
13005,207824145,5.0,2022-01-01,210405 - GEN - Donate National,49.0,M,London
868,207413032,13.0,2022-01-01,210405 - GEN - Donate National,533.0,nan,West Midlands
6194,207604244,10.0,2022-01-01,210405 - GEN - Donate National,37.0,M,South West
13779,207859852,13.0,2022-01-01,210405 - GEN - Donate National,147.0,F,nan
10941,207761897,10.0,2022-01-01,210405 - GEN - Donate National,302.0,M,West Midlands
1174,207422587,15.0,2022-01-01,210405 - GEN - Donate National,304.0,nan,South East
6032,207598666,15.0,2022-01-01,210405 - GEN - Donate National,294.0,F,South East
3542,207510280,3.0,2022-01-01,210405 - GEN - Donate National,261.0,nan,West Midlands
11810,207792062,5.0,2022-01-01,210405 - GEN - Donate National,,nan,London
30050,211322740,20.0,2022-01-01,210405 - GEN - Donate National,,F,Wales
12607,207814224,76.0,2022-01-01,210405 - GEN - Donate National,,nan,East Midlands
4190,207537010,10.0,2022-01-01,210405 - GEN - Donate National,96.0,M,London
23247,208199568,3.0,2022-01-01,210405 - GEN - Donate National,,F,South West
15195,207906177,10.0,2022-01-01,210405 - GEN - Donate National,93.0,nan,South West
8170,207668382,23.0,2022-01-01,210405 - GEN - Donate National,223.0,nan,London
17555,207994146,100.0,2022-01-01,210405 - GEN - Donate National,,F,East Midlands
4706,207550852,30.0,2022-01-01,210405 - GEN - Donate National,43.0,nan,London
15271,207909527,30.0,2022-01-01,210405 - GEN - Donate National,247.0,M,North West
25734,208287105,3.0,2022-01-01,210405 - GEN - Donate National,20.0,nan,South West
30307,216298514,13.0,2022-01-01,210405 - GEN - Donate National,,nan,Eastern
23241,208199335,76.0,2022-01-01,210405 - GEN - Donate National,473.0,nan,Yorkshire and Humber
18032,208007812,15.0,2022-01-01,210405 - GEN - Donate National,35.0,F,London
19044,208045011,60.0,2022-01-01,210405 - GEN - Donate National,246.0,M,South West
7267,207640360,23.0,2022-01-01,210405 - GEN - Donate National,116.0,M,London
3028,207496901,3.0,2022-01-01,210405 - GEN - Donate National,45.0,M,Wales
11536,207784880,10.0,2022-01-01,210405 - GEN - Donate National,,nan,Wales
12965,207822232,13.0,2022-01-01,210405 - GEN - Donate National,452.0,nan,East Midlands
15197,207906383,5.0,2022-01-01,210405 - GEN - Donate National,,nan,London
23972,208220947,10.0,2022-01-01,210405 - GEN - Donate National,24.0,nan,South East
16006,207937310,5.0,2022-01-01,210405 - GEN - Donate National,,nan,North West
18021,208007102,20.0,2022-01-01,210405 - GEN - Donate National,96.0,nan,North West
9766,207726972,5.0,2022-01-01,210405 - GEN - Donate National,660.0,F,nan
30295,216298276,3.0,2022-01-01,210405 - GEN - Donate National,26.0,M,North West
19616,208070137,10.0,2022-01-01,210405 - GEN - Donate National,27.0,M,South East
6666,207620270,100.0,2022-01-01,210405 - GEN - Donate National,193.0,M,London
15392,207914839,13.0,2022-01-01,210405 - GEN - Donate National,,F,Yorkshire and Humber
15017,207900116,10.0,2022-01-01,210405 - GEN - Donate National,301.0,nan,London
8667,207689314,50.0,2022-01-01,210405 - GEN - Donate National,43.0,F,North West
15838,207930744,13.0,2022-01-01,210405 - GEN - Donate National,66.0,nan,West Midlands
514,207399898,5.0,2022-01-01,210405 - GEN - Donate National,112.0,F,North West
6314,207608816,30.0,2022-01-01,210405 - GEN - Donate National,171.0,F,West Midlands
24706,208249962,10.0,2022-01-01,210405 - GEN - Donate National,,F,Yorkshire and Humber
20100,208085737,5.0,2022-01-01,210405 - GEN - Donate National,155.0,F,South East
10913,207760422,23.0,2022-01-01,210405 - GEN - Donate National,246.0,M,South East
9950,207730762,5.0,2022-01-01,210405 - GEN - Donate National,,M,West Midlands
822,207411906,10.0,2022-01-01,210405 - GEN - Donate National,336.0,nan,London
31515,233161560,10.0,2022-01-01,210405 - GEN - Donate National,,M,Scotland
31516,233164156,13.0,2022-01-01,210405 - GEN - Donate National,,M,Yorkshire and Humber
28266,208362941,30.0,2022-01-01,210405 - GEN - Donate National,,nan,South East
31518,233166559,5.0,2022-01-01,210405 - GEN - Donate National,,nan,South West
29301,208422688,121.0,2022-01-01,210405 - GEN - Donate National,284.0,M,Wales
12593,207813643,50.0,2022-01-01,210405 - GEN - Donate National,468.0,M,West Midlands
14559,207883362,10.0,2022-01-01,210405 - GEN - Donate National,245.0,M,North
14939,207897660,30.0,2022-01-01,210405 - GEN - Donate National,8.0,M,Yorkshire and Humber
20072,208084892,23.0,2022-01-01,210405 - GEN - Donate National,,F,Yorkshire and Humber
31522,233167096,121.0,2022-01-01,210405 - GEN - Donate National,,nan,Yorkshire and Humber
9110,207704209,30.0,2022-01-01,210405 - GEN - Donate National,325.0,F,West Midlands
830,207412383,10.0,2022-01-01,210405 - GEN - Donate National,355.0,M,South East
31525,233167139,13.0,2022-01-01,210405 - GEN - Donate National,,F,South East
31526,233167197,76.0,2022-01-01,210405 - GEN - Donate National,,M,Yorkshire and Humber
26710,208321198,5.0,2022-01-01,210405 - GEN - Donate National,596.0,F,Eastern
28708,208379587,5.0,2022-01-01,210405 - GEN - Donate National,242.0,F,West Midlands
31528,233171356,13.0,2022-01-01,210405 - GEN - Donate National,,M,East Midlands
27679,208348069,3.0,2022-01-01,210405 - GEN - Donate National,296.0,M,North
9851,207728820,5.0,2022-01-01,210405 - GEN - Donate National,,M,East Midlands
9112,207704259,5.0,2022-01-01,210405 - GEN - Donate National,316.0,M,London
26312,208307604,23.0,2022-01-01,210405 - GEN - Donate National,,M,London
12154,207800597,50.0,2022-01-01,210405 - GEN - Donate National,31.0,M,Wales
31529,233173765,3.0,2022-01-01,210405 - GEN - Donate National,,F,Eastern
660,207406131,5.0,2022-01-01,210405 - GEN - Donate National,201.0,M,South East
797,207411002,5.0,2022-01-01,210405 - GEN - Donate National,304.0,nan,Scotland
23903,208219152,10.0,2022-01-01,210405 - GEN - Donate National,,M,nan
31504,233061051,10.0,2022-01-01,210405 - GEN - Donate National,,nan,Eastern
1185,207422807,10.0,2022-01-01,210405 - GEN - Donate National,217.0,M,Eastern
28212,208361535,60.0,2022-01-01,210405 - GEN - Donate National,325.0,F,South East
4652,207549917,30.0,2022-01-01,210405 - GEN - Donate National,,F,South West
24764,208251570,5.0,2022-01-01,210405 - GEN - Donate National,,M,North West
17904,208004225,23.0,2022-01-01,210405 - GEN - Donate National,,nan,Yorkshire and Humber
21757,208147452,10.0,2022-01-01,210405 - GEN - Donate National,169.0,F,North West
15632,207923898,30.0,2022-01-01,210405 - GEN - Donate National,8.0,M,South West
17280,207985159,13.0,2022-01-01,210405 - GEN - Donate National,4.0,F,London
13789,207860186,3.0,2022-01-01,210405 - GEN - Donate National,148.0,M,Yorkshire and Humber
11514,207784193,10.0,2022-01-01,210405 - GEN - Donate National,29.0,nan,London
23189,208197554,10.0,2022-01-01,210405 - GEN - Donate National,,nan,South East
17884,208003955,30.0,2022-01-01,210405 - GEN - Donate National,451.0,M,Eastern
11988,207795796,5.0,2022-01-01,210405 - GEN - Donate National,163.0,nan,North
30185,212667228,10.0,2022-01-01,210405 - GEN - Donate National,246.0,nan,South East
11412,207780875,13.0,2022-01-01,210405 - GEN - Donate National,,F,Yorkshire and Humber
17284,207985406,23.0,2022-01-01,210405 - GEN - Donate National,,F,London
2986,207495742,5.0,2022-01-01,210405 - GEN - Donate National,104.0,M,West Midlands
21790,208148271,10.0,2022-01-01,210405 - GEN - Donate National,,nan,South East
17874,208003738,10.0,2022-01-01,210405 - GEN - Donate National,452.0,nan,North West
20511,208100608,100.0,2022-01-01,210405 - GEN - Donate National,94.0,M,Eastern
9758,207726784,13.0,2022-01-01,210405 - GEN - Donate National,,nan,London
4378,207543551,42.0,2022-01-01,210405 - GEN - Donate National,89.0,M,South West
3961,207527503,15.0,2022-01-01,210405 - GEN - Donate National,168.0,F,nan
818,207411739,10.0,2022-01-01,210405 - GEN - Donate National,539.0,M,North
14928,207897556,5.0,2022-01-01,210405 - GEN - Donate National,27.0,F,Yorkshire and Humber
3636,207514240,121.0,2022-01-01,210405 - GEN - Donate National,92.0,nan,South West
30997,227369501,23.0,2022-01-01,210405 - GEN - Donate National,,F,London
6048,207599051,10.0,2022-01-01,210405 - GEN - Donate National,201.0,nan,London
3623,207513456,13.0,2022-01-01,210405 - GEN - Donate National,44.0,nan,South West
31414,232146161,5.0,2022-01-01,210405 - GEN - Donate National,,nan,Eastern
2570,207479552,5.0,2022-01-01,210405 - GEN - Donate National,184.0,M,South East
8676,207689536,100.0,2022-01-01,210405 - GEN - Donate National,146.0,F,nan
18672,208030125,20.0,2022-01-01,210405 - GEN - Donate National,,F,Yorkshire and Humber
9230,207709484,10.0,2022-01-01,210405 - GEN - Donate National,29.0,nan,London
17072,207979506,15.0,2022-01-01,210405 - GEN - Donate National,,nan,Yorkshire and Humber
31314,231314253,3.0,2022-01-01,210405 - GEN - Donate National,,F,Scotland
31315,231319021,5.0,2022-01-01,210405 - GEN - Donate National,,nan,North West
16365,207952232,5.0,2022-01-01,210405 - GEN - Donate National,24.0,nan,North West
6894,207625903,13.0,2022-01-01,210405 - GEN - Donate National,,M,North
19992,208082852,15.0,2022-01-01,210405 - GEN - Donate National,242.0,nan,West Midlands
24020,208221910,15.0,2022-01-01,210405 - GEN - Donate National,247.0,F,South East
22787,208184543,5.0,2022-01-01,210405 - GEN - Donate National,,F,nan
18188,208012271,10.0,2022-01-01,210405 - GEN - Donate National,64.0,nan,West Midlands
3421,207506399,5.0,2022-01-01,210405 - GEN - Donate National,158.0,nan,Scotland
2637,207482547,60.0,2022-01-01,210405 - GEN - Donate National,261.0,nan,Yorkshire and Humber
3424,207506436,3.0,2022-01-01,210405 - GEN - Donate National,463.0,F,Eastern
24008,208221597,10.0,2022-01-01,210405 - GEN - Donate National,,nan,London
12389,207808068,23.0,2022-01-01,210405 - GEN - Donate National,62.0,F,North
13491,207844181,3.0,2022-01-01,210405 - GEN - Donate National,17.0,M,North West
14758,207891107,15.0,2022-01-01,210405 - GEN - Donate National,25.0,F,Wales
18172,208011625,13.0,2022-01-01,210405 - GEN - Donate National,50.0,M,North West
10359,207742676,286.0,2022-01-01,210405 - GEN - Donate National,242.0,nan,London
5873,207592842,3.0,2022-01-01,210405 - GEN - Donate National,158.0,nan,Yorkshire and Humber
1141,207421790,20.0,2022-01-01,210405 - GEN - Donate National,312.0,nan,Yorkshire and Humber
1716,207444546,23.0,2022-01-01,210405 - GEN - Donate National,311.0,M,Wales
14354,207876112,3.0,2022-01-01,210405 - GEN - Donate National,,M,South East
20190,208089256,30.0,2022-01-01,210405 - GEN - Donate National,187.0,F,Wales
21420,208134750,3.0,2022-01-01,210405 - GEN - Donate National,,nan,North
8910,207697241,3.0,2022-01-01,210405 - GEN - Donate National,286.0,nan,East Midlands
7351,207642462,13.0,2022-01-01,210405 - GEN - Donate National,,F,South West
19673,208071983,13.0,2022-01-01,210405 - GEN - Donate National,93.0,nan,North West
21881,208152101,60.0,2022-01-01,210405 - GEN - Donate National,6.0,M,North West
25058,208261590,3.0,2022-01-01,210405 - GEN - Donate National,,F,Scotland
1385,207429473,4.0,2022-01-01,210405 - GEN - Donate National,129.0,M,Eastern
7617,207650540,10.0,2022-01-01,210405 - GEN - Donate National,80.0,M,Yorkshire and Humber
26868,208324448,23.0,2022-01-01,210405 - GEN - Donate National,,F,London
31272,229571980,10.0,2022-01-01,210405 - GEN - Donate National,,M,Yorkshire and Humber
26014,208298356,3.0,2022-01-01,210405 - GEN - Donate National,,nan,North West
13979,207866952,13.0,2022-01-01,210405 - GEN - Donate National,,M,Scotland
7988,207661367,15.0,2022-01-01,210405 - GEN - Donate National,170.0,F,South East
3362,207505111,5.0,2022-01-01,210405 - GEN - Donate National,,M,nan
28644,208376596,5.0,2022-01-01,210405 - GEN - Donate National,22.0,nan,South East
5890,207593577,10.0,2022-01-01,210405 - GEN - Donate National,,F,Eastern
20216,208090001,5.0,2022-01-01,210405 - GEN - Donate National,451.0,M,West Midlands
20209,208089696,5.0,2022-01-01,210405 - GEN - Donate National,,M,East Midlands
31283,230715000,20.0,2022-01-01,210405 - GEN - Donate National,,M,West Midlands
7985,207661346,3.0,2022-01-01,210405 - GEN - Donate National,,F,North West
31285,230767285,13.0,2022-01-01,210405 - GEN - Donate National,,M,nan
9820,207728201,23.0,2022-01-01,210405 - GEN - Donate National,201.0,M,East Midlands
25082,208262752,3.0,2022-01-01,210405 - GEN - Donate National,,F,West Midlands
5589,207581795,3.0,2022-01-01,210405 - GEN - Donate National,191.0,F,Eastern
1561,207438380,6.0,2022-01-01,211111 - MM - Raffle - Winter 2021,120.0,nan,London
28058,208357608,60.0,2022-01-01,210405 - GEN - Donate National,302.0,M,South West
15084,207902525,23.0,2022-01-01,210405 - GEN - Donate National,302.0,F,North West
14816,207892564,30.0,2022-01-01,210405 - GEN - Donate National,316.0,M,Eastern
8866,207695956,23.0,2022-01-01,210405 - GEN - Donate National,98.0,F,Eastern
8306,207673973,10.0,2022-01-01,210405 - GEN - Donate National,282.0,F,West Midlands
2300,207470087,5.0,2022-01-01,210405 - GEN - Donate National,45.0,M,nan
9595,207722805,13.0,2022-01-01,210405 - GEN - Donate National,22.0,nan,North West
26038,208299379,23.0,2022-01-01,210405 - GEN - Donate National,450.0,F,London
9429,207718189,30.0,2022-01-01,210405 - GEN - Donate National,519.0,nan,nan
11839,207792684,10.0,2022-01-01,210405 - GEN - Donate National,28.0,F,North
20193,208089368,10.0,2022-01-01,210405 - GEN - Donate National,,M,South West
4879,207554727,23.0,2022-01-01,210405 - GEN - Donate National,24.0,M,London
19118,208049018,5.0,2022-01-01,210405 - GEN - Donate National,27.0,F,South West
25755,208287682,100.0,2022-01-01,210405 - GEN - Donate National,451.0,F,Scotland
4206,207537298,5.0,2022-01-01,210405 - GEN - Donate National,,nan,South West
26755,208322027,15.0,2022-01-01,210405 - GEN - Donate National,51.0,F,London
11288,207776742,30.0,2022-01-01,210405 - GEN - Donate National,258.0,M,Yorkshire and Humber
3472,207508227,15.0,2022-01-01,210405 - GEN - Donate National,230.0,M,Wales
17359,207987084,5.0,2022-01-01,210405 - GEN - Donate National,,F,South West
26445,208312531,10.0,2022-01-01,210405 - GEN - Donate National,,M,Yorkshire and Humber
3064,207498023,23.0,2022-01-01,210405 - GEN - Donate National,203.0,M,nan
18097,208009792,23.0,2022-01-01,210405 - GEN - Donate National,242.0,M,West Midlands
18095,208009740,3.0,2022-01-01,210405 - GEN - Donate National,,nan,Eastern
14196,207872707,10.0,2022-01-01,210405 - GEN - Donate National,168.0,nan,South West
124,207384685,10.0,2022-01-01,210405 - GEN - Donate National,62.0,nan,South West
17059,207979009,23.0,2022-01-01,210405 - GEN - Donate National,247.0,nan,East Midlands
7679,207652683,5.0,2022-01-01,210405 - GEN - Donate National,8.0,nan,South East
